YEAR,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS,CO2_PER_FLIGHT
2019,SLOVAKIA,22593.0,190339.29200000002,8.167320995562962
2019,SLOVENIA,32102.0,116613.931,3.5998925337631356
2019,SPAIN,2118002.0,18540453.532,8.709879146258361
2019,SWEDEN,354070.0,3234225.659,9.156496462041149
2019,SWITZERLAND,454627.0,5823362.078,12.816483439368914
2019,TÜRKIYE,1060929.0,16553071.922,15.505238660658359
2019,UNITED KINGDOM,2115593.0,37299134.218,17.654617233833836
2020,ALBANIA,15288.0,82288.13100000001,5.0919667249549745
2020,ARMENIA,9373.0,111700.522,12.775752965064406
2020,AUSTRIA,151426.0,1075664.707,7.447778041689599
2020,BELGIUM,166216.0,3411821.045,23.65178117684215
2020,BOSNIA AND HERZEGOVINA,5383.0,41392.23,7.364060163710907
2020,BULGARIA,34984.0,426081.082,12.568917040218315
2020,CROATIA,22311.0,190212.49300000002,8.056128386121799
2020,CYPRUS,31583.0,404325.11,14.650719390763072
2020,DENMARK,98204.0,1108818.778,11.650700895444125
2020,ESTONIA,20097.0,84706.77,4.1423950860882135
2020,FINLAND,72789.0,972781.264,13.359375333666392
2020,FRANCE,882700.0,9992358.954,12.322324200717363
2020,GEORGIA,10880.0,194808.639,20.0023950463788
2020,GERMANY,875462.0,14740161.720999999,19.005904234023557
2020,GREECE,229559.0,1577288.234,6.167006741354406
2020,HUNGARY,47770.0,414433.074,9.166716766023498
2020,IRELAND,114483.0,1229807.352,12.000223038998627
2020,ITALY,480534.0,5317375.948,11.751967093784875
2020,LATVIA,35796.0,194658.212,5.4406313819175125
2020,LITHUANIA,31116.0,183004.805,5.948852249785294
2020,LUXEMBOURG,40335.0,1546532.2550000001,46.29393309642839
2020,MALTA,24307.0,199150.525,8.153842598863832
2020,MONTENEGRO,5816.0,40482.844000000005,6.482803190812615
2020,NETHERLANDS,265943.0,6553517.848999999,28.751013796921143
2020,NORWAY,469920.0,1513122.931,3.077889025153562
2020,POLAND,194403.0,1310832.007,6.706068290485433
2020,PORTUGAL,193632.0,2106537.077,10.979766100776857
2020,ROMANIA,56656.0,635026.3640000001,11.147689330488115
2020,SERBIA,34129.0,214705.5,6.927326842859692
2020,SLOVAKIA,9053.0,56340.983,6.103560328055887
2020,SLOVENIA,13159.0,34286.824,2.679891536154628
2020,SPAIN,894872.0,6624632.622,8.029648284905436
2020,SWEDEN,128809.0,1122096.131,8.453212620209223
2020,SWITZERLAND,189556.0,2267072.916,12.711185946532014
2020,TÜRKIYE,492743.0,7652521.353,18.071934294862324
2020,UNITED KINGDOM,817196.0,14983683.713,20.38178756658333
2021,ALBANIA,26190.0,166500.76679999998,5.94177545193567
2021,ARMENIA,19439.0,223991.4634,11.634151080506983
2021,AUSTRIA,172705.0,1265445.4181,7.313584186112291
2021,BELGIUM,209380.0,4297174.0538,21.979495481897914
2021,BOSNIA AND HERZEGOVINA,10681.0,94508.23515,8.172925227485074
2021,BULGARIA,39888.0,514942.12799999997,12.572186883573005
2021,CROATIA,29771.0,347692.05795,10.11368793030064
2021,CYPRUS,51629.0,623590.5939,11.979643171365211
2021,DENMARK,109870.0,1363031.14855,13.473784770087965
2021,ESTONIA,23809.0,147359.39145,5.68457902527246
2021,FINLAND,72296.0,923714.8587,12.92393074332888
2021,FRANCE,1124114.0,11908937.48035,10.808438602359677
2021,GEORGIA,21280.0,374273.8616,18.009789054538665
2021,GERMANY,969535.0,16876106.40845,18.67369898109867
2021,GREECE,370780.0,2916142.1336499997,6.711038417027187
2021,HUNGARY,54543.0,479874.2237,9.20421080674443
2021,IRELAND,116793.0,1253408.07055,11.241936449955913
2021,ITALY,679105.0,6811548.8390500005,10.492532263141353
2021,LATVIA,39030.0,247478.16085,6.015435444782262
2021,LITHUANIA,34780.0,228270.0302,6.22164934040667
2021,LUXEMBOURG,47684.0,1816545.2387,41.12683329852762
2021,MALTA,32499.0,253661.11609999998,7.381302398701757
2021,MONTENEGRO,8232.0,75215.4479,7.718140519508634
2021,NETHERLANDS,313736.0,7287686.23925,25.199073883525127
2021,NORWAY,507141.0,1497818.08675,2.8835552607054797
2021,POLAND,238124.0,1742703.95215,7.20570365203977
2021,PORTUGAL,255617.0,2618840.80175,10.26757256442684
2021,ROMANIA,77637.0,881178.414,10.999026992380317
2021,SERBIA,49367.0,326319.7923,6.621409468649911
2021,SLOVAKIA,10980.0,69957.0048,6.167280229514657
2021,SLOVENIA,16964.0,48289.705350000004,2.7645411445102983
2021,SPAIN,1254450.0,9067328.11885,7.257650876755776
2021,SWEDEN,140520.0,1158204.2762,8.2681522979207
