YEAR,MONTH_NUM,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS,CO2_PER_FLIGHT
2016,5,FRANCE,165572.0,1769005.149,10.684204750803275
2016,5,GEORGIA,1971.0,23020.509,11.679608828006087
2016,5,GERMANY,178676.0,2579277.021,14.435497890035597
2016,5,GREECE,42387.0,371601.874,8.766883100950764
2016,5,HUNGARY,8576.0,66530.548,7.757759794776119
2016,5,IRELAND,24953.0,242264.982,9.70885192161263
2016,5,ITALY,102369.0,1151841.948,11.251862849104711
2016,5,LATVIA,5982.0,32020.739,5.35284837846874
2016,5,LITHUANIA,4832.0,28248.343,5.846097475165563
2016,5,LUXEMBOURG,5707.0,113876.49,19.953826879271073
2016,5,MALTA,4193.0,37349.001,8.907465060815644
2016,5,MONTENEGRO,976.0,8443.651,8.651281762295081
2016,5,NETHERLANDS,48670.0,950495.433,19.52939044585987
2016,5,NORWAY,40943.0,252715.966,6.172385169626065
2016,5,POLAND,30583.0,197830.897,6.468655691070202
2016,5,PORTUGAL,33601.0,351944.433,10.474224963542753
2016,5,ROMANIA,9333.0,94078.476,10.080196721311475
2016,5,SERBIA,5423.0,28380.197,5.233302046837544
2016,5,SLOVAKIA,1639.0,11158.044,6.807836485661989
2016,5,SLOVENIA,2667.0,8149.81,3.0557967754030746
2016,5,SPAIN,168146.0,1420620.355,8.448731191940338
2016,5,SWEDEN,32458.0,269418.717,8.300533520241544
2016,5,SWITZERLAND,38929.0,450278.581,11.566661897300213
2016,5,TÜRKIYE,87336.0,1197812.21,13.714988206466977
2016,5,UNITED KINGDOM,181468.0,3157258.784,17.398432693367425
2016,6,ALBANIA,1720.0,9231.455,5.367125
2016,6,ARMENIA,1437.0,14886.919,10.359720946416145
2016,6,AUSTRIA,29254.0,219460.242,7.501888357147741
2016,6,BELGIUM,29519.0,342865.749,11.615086859310953
2016,6,BOSNIA AND HERZEGOVINA,908.0,6849.860000000001,7.543898678414098
2016,6,BULGARIA,4376.0,95641.023,21.855809643510057
2016,6,CROATIA,3632.0,63106.213,17.37505864537445
2016,6,CYPRUS,7412.0,104355.287,14.079234619535887
2016,6,DENMARK,24030.0,268200.884,11.161085476487724
2016,6,FINLAND,14089.0,178331.787,12.657519128398041
