YEAR,MONTH_NUM,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS
2016,7,IRELAND,27058.0,282693.849
2016,7,ITALY,113218.0,1364993.425
2016,7,KOSOVO,,11907.471
2016,7,LATVIA,6067.0,33844.662
2016,7,LITHUANIA,4833.0,27477.536
2016,7,LUXEMBOURG,5836.0,122534.736
2016,7,MALTA,4735.0,42227.287
2016,7,MOLDOVA,2276.0,
2016,7,"MOLDOVA, REPUBLIC OF",,15932.401
2016,7,MONACO,,64.063
2016,7,MONTENEGRO,1341.0,22286.828
2016,7,NETHERLANDS,50141.0,1013172.988
2016,7,NORTH MACEDONIA,,10841.869
2016,7,NORWAY,36321.0,283734.966
2016,7,POLAND,34025.0,236111.691
2016,7,PORTUGAL,38699.0,422990.304
2016,7,REPUBLIC OF NORTH MACEDONIA,1541.0,
2016,7,ROMANIA,10219.0,110042.76
2016,7,SERBIA,6693.0,36904.855
2016,7,SLOVAKIA,2456.0,20966.79
2016,7,SLOVENIA,2961.0,11359.148
2016,7,SPAIN,195404.0,1706104.009
2016,7,SWEDEN,26855.0,278517.201
2016,7,SWITZERLAND,41261.0,502740.853
2016,7,TÜRKIYE,94862.0,1343212.889
2016,7,UKRAINE,7360.0,
2016,7,UNITED KINGDOM,191653.0,3403457.359
2016,8,ALBANIA,2353.0,12157.049
2016,8,ARMENIA,1981.0,20531.003
2016,8,AUSTRIA,29122.0,231288.54
2016,8,BELGIUM,29651.0,366334.213
2016,8,BOSNIA AND HERZEGOVINA,1144.0,10207.293
2016,8,BULGARIA,4527.0,117245.63
2016,8,CANARY ISLANDS,,293667.749
2016,8,CROATIA,3860.0,78176.964
2016,8,CYPRUS,8697.0,115756.446
2016,8,CZECH REPUBLIC,15249.0,
2016,8,CZECHIA,,119923.57
2016,8,DENMARK,23585.0,270046.915
2016,8,ESTONIA,3509.0,
2016,8,FINLAND,14527.0,185130.94
2016,8,FRANCE,163917.0,1973374.301
2016,8,GEORGIA,2668.0,34480.762
2016,8,GERMANY,180131.0,2707215.907
2016,8,GREECE,64953.0,578552.81
2016,8,HUNGARY,9016.0,75373.107
2016,8,ICELAND,,61684.513
2016,8,IRELAND,26210.0,271422.455
2016,8,ITALY,109481.0,1353297.191
2016,8,KOSOVO,,12872.393
2016,8,LATVIA,6250.0,34886.298
2016,8,LITHUANIA,4870.0,27615.097
2016,8,LUXEMBOURG,5572.0,120083.823
2016,8,MALTA,4804.0,41780.311
2016,8,MOLDOVA,2351.0,
